category,Straddle Price,Index Spot,Synthetic Future
Tue Sep 17 2024,117.6,24008.6,23988.20
Tue Sep 17 2024,120.25,23982.4,23968.65
Tue Sep 17 2024,122.35,23980.2,23964.95
Tue Sep 17 2024,117.6,23979.85,23965.70
Tue Sep 17 2024,113.35,23964.35,23949.95
Tue Sep 17 2024,111.2,23965,23951.60
Tue Sep 17 2024,108.35,23971.75,23958.85
Tue Sep 17 2024,108.25,23957.1,23943.85
Tue Sep 17 2024,107.05,23962.35,23949.25
Tue Sep 17 2024,107.1,23954.85,23942.90
Tue Sep 17 2024,106.95,23953.3,23939.85
Tue Sep 17 2024,108.45,23955.2,23940.85
Tue Sep 17 2024,106.7,23948.9,23935.70
Tue Sep 17 2024,109.95,23955.4,23941.65
Tue Sep 17 2024,107.5,23947.1,23933.80
Tue Sep 17 2024,109.55,23945,23932.55
Tue Sep 17 2024,108,23948.45,23935.20
Tue Sep 17 2024,108.9,23950.3,23937.10
Tue Sep 17 2024,106.1,23954.45,23944.80
Tue Sep 17 2024,107.1,23950.55,23937.50
Tue Sep 17 2024,103.05,23943.15,23933.75
Tue Sep 17 2024,106.1,23952.95,23938.20
Tue Sep 17 2024,100.85,23955.55,23943.25
Tue Sep 17 2024,102.2,23950.95,23939.60
Tue Sep 17 2024,100.45,23956.2,23946.75
Tue Sep 17 2024,103,23969.8,23956.90
Tue Sep 17 2024,101.15,23972.2,23958.65
Tue Sep 17 2024,96.7,23972.5,23959.90
Tue Sep 17 2024,94.65,23971.85,23960.65
Tue Sep 17 2024,95.7,23976.75,23969.40
Tue Sep 17 2024,93.95,23978.2,23967.75
Tue Sep 17 2024,94.3,23979.4,23972.30
Tue Sep 17 2024,92.3,23987.9,23977.30
Tue Sep 17 2024,90.6,23991,23979.20
Tue Sep 17 2024,92.35,23987.85,23978.95
Tue Sep 17 2024,93.65,23988.75,23979.55
Tue Sep 17 2024,93.75,24006,23995.15
Tue Sep 17 2024,93.65,24005.55,23994.75
Tue Sep 17 2024,89.85,24008.35,23997.75
Tue Sep 17 2024,91.4,24006.95,23997.50
Tue Sep 17 2024,87.75,24009.1,23997.15
Tue Sep 17 2024,91.75,24011,23997.85
Tue Sep 17 2024,90.8,24004.1,23995.20
Tue Sep 17 2024,90.15,24001.8,23990.95
Tue Sep 17 2024,90.2,24003.55,23997.20
Tue Sep 17 2024,89.7,24026.05,24020.60
Tue Sep 17 2024,98.8,24035.5,24028.90
Tue Sep 17 2024,93.6,24026.35,24023.00
Tue Sep 17 2024,94.05,24025.65,24021.95
Tue Sep 17 2024,93.5,24023.55,24020.10
Tue Sep 17 2024,88.35,24016.8,24016.25
Tue Sep 17 2024,92.7,24026.15,24024.00
Tue Sep 17 2024,92.65,24026.25,24024.55
Tue Sep 17 2024,93.3,24022.75,24022.70
Tue Sep 17 2024,90.95,24021.4,24018.85
Tue Sep 17 2024,92.45,24025.8,24023.55
Tue Sep 17 2024,92.25,24032.45,24030.25
Tue Sep 17 2024,90.25,24029.65,24027.05
Tue Sep 17 2024,92.3,24035.85,24037.30
Tue Sep 17 2024,92,24035.05,24033.00
Tue Sep 17 2024,91.65,24033.35,24032.35
Tue Sep 17 2024,92.5,24037.5,24037.20
Tue Sep 17 2024,89.95,24037.1,24034.65
Tue Sep 17 2024,91.75,24035.9,24031.35
Tue Sep 17 2024,86.6,24029.3,24023.60
Tue Sep 17 2024,87.9,24030.75,24024.20
Tue Sep 17 2024,85.9,24028.2,24022.20
Tue Sep 17 2024,83.9,24029.5,24020.90
Tue Sep 17 2024,84.65,24034.15,24028.95
Tue Sep 17 2024,81.45,24028.5,24020.35
Tue Sep 17 2024,76.4,24020.95,24010.10
Tue Sep 17 2024,77.2,24014.65,24009.20
Tue Sep 17 2024,71.35,24005.5,23993.95
Tue Sep 17 2024,72.05,24007.2,23995.25
Tue Sep 17 2024,72.2,24006.3,23998.30
Tue Sep 17 2024,72.15,23996.6,23989.85
Tue Sep 17 2024,71.55,23996.45,23988.75
Tue Sep 17 2024,72.4,23998,23991.30
Tue Sep 17 2024,71.55,24000.75,23991.85
Tue Sep 17 2024,69.75,24005.45,23996.35
